#,Open_Time,Direction,Entry_Price,Stop_Loss,Take_Profit,RR,Balance_Before,Risk_Amount,Position_Size,Close_Time,Balance_After,Profit,Result
70,2023-12-07 10:05:00,Long,1.07768,1.07755,1.07794,2,14400,100,,2023-12-07 10:05:00,14600,200,Win
71,2023-12-11 09:45:00,Long,1.07604,1.07573,1.0766600000000002,2,14600,100,,2023-12-11 09:45:00,14500,-100,Lose
72,2023-12-12 18:35:00,Long,1.07888,1.07877,1.0791000000000002,2,14500,100,,2023-12-12 18:35:00,14400,-100,Lose
73,2023-12-13 09:50:00,Long,1.07848,1.07846,1.0785200000000004,2,14400,100,,2023-12-13 09:50:00,14600,200,Win
74,2023-12-14 17:05:00,Long,1.09957,1.09891,1.1008899999999997,2,14600,100,,2023-12-14 17:05:00,14500,-100,Lose
75,2023-12-15 18:10:00,Long,1.09007,1.09007,1.09007,2,14500,100,,2023-12-15 18:10:00,14700,200,Win
76,2023-12-18 08:20:00,Long,1.09182,1.09163,1.0921999999999998,2,14700,100,,2023-12-18 08:20:00,14600,-100,Lose
77,2023-12-19 19:10:00,Short,1.09767,1.09776,1.0974899999999996,2,14600,100,,2023-12-19 19:10:00,14600,0,BreakEven
78,2023-12-20 10:05:00,Long,1.09604,1.09594,1.0962399999999999,2,14600,100,,2023-12-20 10:05:00,14800,200,Win
79,2023-12-21 15:00:00,Long,1.09853,1.09849,1.09861,2,14800,100,,2023-12-21 15:00:00,15000,200,Win
80,2023-12-22 09:55:00,Long,1.10043,1.10025,1.1007900000000002,2,15000,100,,2023-12-22 09:55:00,14900,-100,Lose
81,2023-12-26 08:00:00,Long,1.10226,1.10221,1.1023600000000002,2,14900,100,,2023-12-26 08:00:00,15100,200,Win
82,2023-12-27 11:15:00,Long,1.10516,1.10511,1.1052599999999997,2,15100,100,,2023-12-27 11:15:00,15300,200,Win
83,2024-01-03 08:30:00,Long,1.09522,1.09502,1.09562,2,15300,100,,2024-01-03 08:30:00,15200,-100,Lose
84,2024-01-04 17:10:00,Long,1.09553,1.09541,1.0957699999999997,2,15200,100,,2024-01-04 17:10:00,15200,0,BreakEven
85,2024-01-05 09:50:00,Long,1.09107,1.09104,1.09113,2,15200,100,,2024-01-05 09:50:00,15400,200,Win
86,2024-01-09 08:10:00,Long,1.09427,1.09426,1.0942900000000002,2,15400,100,,2024-01-09 08:10:00,15600,200,Win
87,2024-01-10 18:30:00,Short,1.09677,1.09689,1.0965300000000002,2,15600,100,,2024-01-10 18:30:00,15500,-100,Lose
88,2024-01-11 16:55:00,Long,1.09423,1.09366,1.09537,2,15500,100,,2024-01-11 16:55:00,15400,-100,Lose
89,2024-01-15 19:55:00,Long,1.09504,1.09497,1.09518,2,15400,100,,2024-01-15 19:55:00,15300,-100,Lose
90,2024-01-16 08:10:00,Long,1.09129,1.09104,1.0917900000000003,2,15300,100,,2024-01-16 08:10:00,15200,-100,Lose
91,2024-01-17 16:30:00,Long,1.08494,1.08476,1.0853000000000002,2,15200,100,,2024-01-17 16:30:00,15400,200,Win
92,2024-01-18 11:40:00,Long,1.08877,1.08865,1.0890100000000003,2,15400,100,,2024-01-18 11:40:00,15400,0,BreakEven
93,2024-01-19 08:15:00,Long,1.08732,1.08732,1.08732,2,15400,100,,2024-01-19 08:15:00,15600,200,Win
94,2024-01-22 09:45:00,Long,1.08934,1.08923,1.08956,2,15600,100,,2024-01-22 09:45:00,15600,0,BreakEven
95,2024-01-24 08:45:00,Long,1.08695,1.08687,1.0871100000000002,2,15600,100,,2024-01-24 08:45:00,15800,200,Win
96,2024-01-25 10:30:00,Long,1.08936,1.08919,1.0897000000000001,2,15800,100,,2024-01-25 10:30:00,15700,-100,Lose
97,2024-01-26 18:00:00,Short,1.08651,1.08652,1.0864900000000004,2,15700,100,,2024-01-26 18:00:00,15900,200,Win
98,2024-01-30 13:15:00,Long,1.08391,1.08381,1.08411,2,15900,100,,2024-01-30 13:15:00,16100,200,Win
99,2024-02-01 14:15:00,Long,1.08171,1.0817,1.0817299999999996,2,16100,100,,2024-02-01 14:15:00,16300,200,Win
100,2024-02-02 18:00:00,Long,1.0782,1.07818,1.0782400000000003,2,16300,100,,2024-02-02 18:00:00,16500,200,Win
101,2024-02-05 08:25:00,Long,1.07728,1.07727,1.0773000000000001,2,16500,100,,2024-02-05 08:25:00,16700,200,Win
102,2024-02-06 08:00:00,Long,1.07528,1.07517,1.0755000000000001,2,16700,100,,2024-02-06 08:00:00,16900,200,Win
103,2024-02-07 13:55:00,Long,1.07701,1.0768,1.07743,2,16900,100,,2024-02-07 13:55:00,16800,-100,Lose
104,2024-02-09 08:50:00,Long,1.07758,1.0773,1.07814,2,16800,100,,2024-02-09 08:50:00,16700,-100,Lose
105,2024-02-12 08:15:00,Long,1.07877,1.07875,1.0788099999999998,2,16700,100,,2024-02-12 08:15:00,16900,200,Win
106,2024-02-13 08:05:00,Long,1.07695,1.07689,1.0770700000000004,2,16900,100,,2024-02-13 08:05:00,17100,200,Win
107,2024-02-14 18:15:00,Long,1.07275,1.0727,1.0728500000000003,2,17100,100,,2024-02-14 18:15:00,17300,200,Win
108,2024-02-16 08:05:00,Long,1.07606,1.07604,1.0760999999999998,2,17300,100,,2024-02-16 08:05:00,17500,200,Win
109,2024-02-19 08:00:00,Long,1.07848,1.07823,1.0789800000000003,2,17500,100,,2024-02-19 08:00:00,17400,-100,Lose
110,2024-02-20 19:15:00,Short,1.08111,1.08112,1.0810899999999999,2,17400,100,,2024-02-20 19:15:00,17600,200,Win
111,2024-02-21 08:20:00,Long,1.08084,1.08071,1.0811,2,17600,100,,2024-02-21 08:20:00,17800,200,Win
112,2024-02-23 08:45:00,Long,1.08232,1.08224,1.0824799999999997,2,17800,100,,2024-02-23 08:45:00,18000,200,Win
113,2024-02-26 13:00:00,Long,1.08499,1.08483,1.0853099999999998,2,18000,100,,2024-02-26 13:00:00,17900,-100,Lose
114,2024-02-27 18:35:00,Long,1.08524,1.0852,1.08532,2,17900,100,,2024-02-27 18:35:00,18100,200,Win
115,2024-02-28 17:40:00,Long,1.08358,1.08339,1.0839599999999998,2,18100,100,,2024-02-28 17:40:00,18000,-100,Lose
116,2024-03-01 08:50:00,Long,1.08115,1.08108,1.08129,2,18000,100,,2024-03-01 08:50:00,18200,200,Win
117,2024-03-04 08:25:00,Long,1.08419,1.08401,1.0845500000000001,2,18200,100,,2024-03-04 08:25:00,18200,0,BreakEven
118,2024-03-06 17:40:00,Long,1.09012,1.09011,1.09014,2,18200,100,,2024-03-06 17:40:00,18400,200,Win
119,2024-03-07 10:30:00,Long,1.08934,1.0893,1.08942,2,18400,100,,2024-03-07 10:30:00,18600,200,Win
120,2024-03-08 10:35:00,Long,1.09284,1.09263,1.0932600000000001,2,18600,100,,2024-03-08 10:35:00,18500,-100,Lose
121,2024-03-11 09:15:00,Long,1.09409,1.09406,1.09415,2,18500,100,,2024-03-11 09:15:00,18700,200,Win
122,2024-03-13 09:05:00,Long,1.0925,1.0924,1.0927,2,18700,100,,2024-03-13 09:05:00,18900,200,Win
123,2024-03-14 10:40:00,Long,1.09385,1.09377,1.0940100000000001,2,18900,100,,2024-03-14 10:40:00,18900,0,BreakEven
124,2024-03-15 12:00:00,Long,1.08916,1.08915,1.0891799999999996,2,18900,100,,2024-03-15 12:00:00,19100,200,Win
125,2024-03-20 13:35:00,Long,1.08386,1.08373,1.08412,2,19100,100,,2024-03-20 13:35:00,19100,0,BreakEven
126,2024-03-22 14:20:00,Long,1.082,1.08189,1.0822200000000002,2,19100,100,,2024-03-22 14:20:00,19000,-100,Lose
127,2024-03-25 08:00:00,Long,1.08159,1.08119,1.08239,2,19000,100,,2024-03-25 08:00:00,18900,-100,Lose
128,2024-03-26 11:25:00,Long,1.08548,1.08543,1.0855800000000002,2,18900,100,,2024-03-26 11:25:00,19100,200,Win
129,2024-03-27 10:00:00,Long,1.0828,1.0826,1.0832,2,19100,100,,2024-03-27 10:00:00,19000,-100,Lose
130,2024-03-28 14:45:00,Long,1.08002,1.07977,1.0805200000000001,2,19000,100,,2024-03-28 14:45:00,19200,200,Win
131,2024-03-29 12:20:00,Long,1.07847,1.07847,1.07847,2,19200,100,,2024-03-29 12:20:00,19400,200,Win
132,2024-04-01 12:10:00,Long,1.07795,1.07793,1.0779899999999998,2,19400,100,,2024-04-01 12:10:00,19600,200,Win
133,2024-04-02 08:30:00,Long,1.07313,1.07265,1.0740899999999995,2,19600,100,,2024-04-02 08:30:00,19500,-100,Lose
134,2024-04-03 12:40:00,Long,1.07759,1.07745,1.07787,2,19500,100,,2024-04-03 12:40:00,19400,-100,Lose
135,2024-04-05 09:10:00,Long,1.08363,1.08349,1.0839100000000002,2,19400,100,,2024-04-05 09:10:00,19300,-100,Lose
136,2024-04-08 08:15:00,Long,1.08301,1.08301,1.08301,2,19300,100,,2024-04-08 08:15:00,19500,200,Win
137,2024-04-09 18:45:00,Long,1.08518,1.08511,1.08532,2,19500,100,,2024-04-09 18:45:00,19400,-100,Lose
138,2024-04-10 11:30:00,Long,1.08624,1.08622,1.0862800000000004,2,19400,100,,2024-04-10 11:30:00,19600,200,Win
139,2024-04-11 09:05:00,Long,1.07349,1.07345,1.0735700000000001,2,19600,100,,2024-04-11 09:05:00,19800,200,Win
140,2024-04-12 18:35:00,Long,1.06404,1.06403,1.0640600000000002,2,19800,100,,2024-04-12 18:35:00,20000,200,Win
141,2024-04-15 11:45:00,Long,1.06547,1.06536,1.0656899999999996,2,20000,100,,2024-04-15 11:45:00,20200,200,Win
142,2024-04-16 13:10:00,Long,1.0632,1.06318,1.0632399999999997,2,20200,100,,2024-04-16 13:10:00,20400,200,Win
143,2024-04-17 10:35:00,Long,1.06414,1.06403,1.0643600000000002,2,20400,100,,2024-04-17 10:35:00,20600,200,Win
144,2024-04-18 11:30:00,Long,1.06719,1.067,1.0675700000000004,2,20600,100,,2024-04-18 11:30:00,20500,-100,Lose
145,2024-04-19 08:45:00,Long,1.0645,1.06436,1.06478,2,20500,100,,2024-04-19 08:45:00,20400,-100,Lose
146,2024-04-22 09:40:00,Long,1.06521,1.06512,1.0653899999999998,2,20400,100,,2024-04-22 09:40:00,20300,-100,Lose
147,2024-04-23 19:00:00,Long,1.07031,1.07026,1.0704100000000003,2,20300,100,,2024-04-23 19:00:00,20500,200,Win
